run, name, edit distance, time(ms), memory_KB, file1, file2
2, Memoización, 7376, 344.487, 254460, files/test2.txt, files/test3.txt
3, Memoización, 7376, 344.64, 254496, files/test2.txt, files/test3.txt
4, Memoización, 7376, 356.315, 254504, files/test2.txt, files/test3.txt
5, Memoización, 7376, 344.742, 254452, files/test2.txt, files/test3.txt
6, Memoización, 7376, 343.889, 254472, files/test2.txt, files/test3.txt
7, Memoización, 7376, 343.086, 254504, files/test2.txt, files/test3.txt
8, Memoización, 7376, 344.059, 254472, files/test2.txt, files/test3.txt
9, Memoización, 7376, 343.132, 254420, files/test2.txt, files/test3.txt
10, Memoización, 7376, 343.666, 254464, files/test2.txt, files/test3.txt
11, Memoización, 7376, 355.37, 254504, files/test2.txt, files/test3.txt
12, Memoización, 7376, 345.299, 254452, files/test2.txt, files/test3.txt
13, Memoización, 7376, 343.304, 254504, files/test2.txt, files/test3.txt
14, Memoización, 7376, 343.613, 254504, files/test2.txt, files/test3.txt
15, Memoización, 7376, 344.824, 254456, files/test2.txt, files/test3.txt
16, Memoización, 7376, 352.746, 254496, files/test2.txt, files/test3.txt
17, Memoización, 7376, 347.736, 254504, files/test2.txt, files/test3.txt
18, Memoización, 7376, 352.422, 254468, files/test2.txt, files/test3.txt
19, Memoización, 7376, 352.406, 254464, files/test2.txt, files/test3.txt
20, Memoización, 7376, 342.458, 254504, files/test2.txt, files/test3.txt
21, Memoización, 7376, 352.901, 254504, files/test2.txt, files/test3.txt
22, Memoización, 7376, 345.232, 254504, files/test2.txt, files/test3.txt
23, Memoización, 7376, 344.13, 254468, files/test2.txt, files/test3.txt
24, Memoización, 7376, 353.463, 254456, files/test2.txt, files/test3.txt
25, Memoización, 7376, 343.534, 254504, files/test2.txt, files/test3.txt
26, Memoización, 7376, 346.284, 254452, files/test2.txt, files/test3.txt
27, Memoización, 7376, 343.222, 254504, files/test2.txt, files/test3.txt
28, Memoización, 7376, 345.111, 254500, files/test2.txt, files/test3.txt
